_id,content_id,content_type,content_name,content_string
1,a6933898-e898-4955-9b42-9a6fc559b1b9,3,preview,62ea75549f6b3ced24255d4d3cb3013f
2,a6933898-e898-4955-9b42-9a6fc559b1b9,3,icon,c827361d87678d8c33e8db14ed4c751c
3,a6933898-e898-4955-9b42-9a6fc559b1b9,2,app-name,Gallery
4,a6933898-e898-4955-9b42-9a6fc559b1b9,2,layout,photo
5,a6933898-e898-4955-9b42-9a6fc559b1b9,2,allow-forward,true
6,a6933898-e898-4955-9b42-9a6fc559b1b9,2,file-size,70870
7,a6933898-e898-4955-9b42-9a6fc559b1b9,2,file-name,TMPFile.jpg
8,a6933898-e898-4955-9b42-9a6fc559b1b9,2,file-url,https://platform.kik.com/content/files/a6933898-e898-4955-9b42-9a6fc559b1b9?t=DZP2sVGk8rMvqdYtACIPyd0IkodKyc3f-LN12YHGAfFR6JiCx4nWIyd2YBz8WkMQkH5RF6WWX6tSa0TejV7btFvZwiLWE76mxUHC3q7CCOAzjjanxvC0gSTUFEvZZcuJ
9,a6933898-e898-4955-9b42-9a6fc559b1b9,5,sha1-original,143E664653584C377F4B81766B959153ACA1FCA0
10,a6933898-e898-4955-9b42-9a6fc559b1b9,5,sha1-scaled,BB88CF4F83C1739E757E0246172A3DF15DF04553
11,a6933898-e898-4955-9b42-9a6fc559b1b9,5,blockhash-scaled,FF9FB7FFA0010000BC61BC21D821FE499019E419FE51FE21FE219E118E11CE39
12,62bc4299-023b-49b9-bcdd-1e6eb553c848,3,preview,be721869b38b5fd4d059963b06374881
13,62bc4299-023b-49b9-bcdd-1e6eb553c848,3,icon,c827361d87678d8c33e8db14ed4c751c
14,62bc4299-023b-49b9-bcdd-1e6eb553c848,2,app-name,Gallery
15,62bc4299-023b-49b9-bcdd-1e6eb553c848,2,layout,photo
16,62bc4299-023b-49b9-bcdd-1e6eb553c848,2,allow-forward,true
17,62bc4299-023b-49b9-bcdd-1e6eb553c848,2,file-size,53658
18,62bc4299-023b-49b9-bcdd-1e6eb553c848,2,file-name,TMPFile.jpg
19,62bc4299-023b-49b9-bcdd-1e6eb553c848,2,file-url,https://platform.kik.com/content/files/62bc4299-023b-49b9-bcdd-1e6eb553c848?t=DZP2sVGk8rMvqdYtACIPyd0IkodKyc3f-LN12YHGAfG2CXzKhQ4nZ3sf_qVxlq0afX7wmSiUu9RjgGCDXSTEUT0l9sH8tqjfRFGhFT9G8NiNzSEDOFL5oJ2YgiVib0Ws
20,62bc4299-023b-49b9-bcdd-1e6eb553c848,5,sha1-original,4165CB05C80EF05091E5BEDAA4574D3A89FAEBAE
21,62bc4299-023b-49b9-bcdd-1e6eb553c848,5,sha1-scaled,32A1937DFD5C60EC928888065304B1E4AEF7F34A
22,62bc4299-023b-49b9-bcdd-1e6eb553c848,5,blockhash-scaled,000BFFFF9003CDE0FEC0FED8F140F800F800FF00F7C0E7E0F306A0C691ECA0FD
23,a3b6ccba-44af-41cb-926b-5ef6988c58a4,3,preview,2d902165cdda546086f88aa676f99708
24,a3b6ccba-44af-41cb-926b-5ef6988c58a4,3,icon,c827361d87678d8c33e8db14ed4c751c
25,a3b6ccba-44af-41cb-926b-5ef6988c58a4,2,app-name,Gallery
26,a3b6ccba-44af-41cb-926b-5ef6988c58a4,2,layout,photo
27,a3b6ccba-44af-41cb-926b-5ef6988c58a4,2,allow-forward,true
28,a3b6ccba-44af-41cb-926b-5ef6988c58a4,2,file-size,31489
29,a3b6ccba-44af-41cb-926b-5ef6988c58a4,2,file-name,TMPFile.jpg
30,a3b6ccba-44af-41cb-926b-5ef6988c58a4,2,file-url,https://platform.kik.com/content/files/a3b6ccba-44af-41cb-926b-5ef6988c58a4?t=DZP2sVGk8rMvqdYtACIPyd0IkodKyc3f-LN12YHGAfFR6JiCx4nWIyd2YBz8WkMQJFJ0V6wci_dtPvx7e41rSc9Eix07QkGanfojECeaFj9m6QP1bMyqVO-hrm8f54KU
