_id,jid,is_muted,unmute_timestamp,is_dirty
1,vampiredarkness121_j1y@talk.kik.com,1,-1,0
2,1100254207721_g@groups.kik.com,1,-1,0
3,luciferrisingx_e7v@talk.kik.com,1,-1,0
4,1100178703211_g@groups.kik.com,1,-1,0
5,1100175651441_g@groups.kik.com,1,-1,0
6,1100094429029_g@groups.kik.com,1,-1,0
7,habiboo5_sb0@talk.kik.com,1,-1,0
8,1100176562749_g@groups.kik.com,1,-1,0
9,1100111756583_g@groups.kik.com,1,-1,0
10,sexydupang_x53@talk.kik.com,1,-1,0
11,1100098867643_g@groups.kik.com,1,-1,0
12,akari.13_txb@talk.kik.com,1,-1,0
13,1100098960331_g@groups.kik.com,1,-1,0
14,1100102502807_g@groups.kik.com,1,-1,0
15,rebelwithme_mtm@talk.kik.com,1,-1,0
16,madarauchiha13_7f9@talk.kik.com,1,-1,0
17,silentsilversentinel_1eh@talk.kik.com,1,-1,0
18,freyina_nvd@talk.kik.com,1,-1,0
19,1100106975273_g@groups.kik.com,1,-1,0
20,1100176184123_g@groups.kik.com,1,-1,0
21,1100104221103_g@groups.kik.com,1,-1,0
22,1100176250015_g@groups.kik.com,1,-1,0
23,1100179791635_g@groups.kik.com,1,-1,0
24,1100178865483_g@groups.kik.com,1,-1,0
25,1100102783613_g@groups.kik.com,1,-1,0
26,1100169312601_g@groups.kik.com,1,-1,0
27,1100250045338_g@groups.kik.com,1,-1,0
28,1100178528881_g@groups.kik.com,1,-1,0
29,aryl.the.archer_y83@talk.kik.com,1,-1,0
30,pureblood1167_7r3@talk.kik.com,1,-1,0
31,.kony_4t0@talk.kik.com,1,-1,0
32,matty_isboring_agk@talk.kik.com,1,-1,0
33,sensay_5oo@talk.kik.com,1,-1,0
34,1100238871144_g@groups.kik.com,1,-1,0
35,1100099588145_g@groups.kik.com,1,-1,0
36,1100119442033_g@groups.kik.com,1,-1,0
37,amadeusprogram_bx3@talk.kik.com,1,-1,0
38,1100176165367_g@groups.kik.com,1,-1,0
39,1100101777895_g@groups.kik.com,1,-1,0
40,1100231116524_g@groups.kik.com,1,-1,0
41,iistlingr_xmq@talk.kik.com,1,-1,0
42,agodreborn_eaj@talk.kik.com,1,-1,0
43,zwolf628_yw0@talk.kik.com,1,-1,0
44,1100179776815_g@groups.kik.com,1,-1,0
45,1100138108315_g@groups.kik.com,1,-1,0
46,asuna_cx_vir@talk.kik.com,1,-1,0
47,1100179774737_g@groups.kik.com,1,-1,0
48,1100181060525_g@groups.kik.com,1,-1,0
49,1100179764203_g@groups.kik.com,1,-1,0
50,1100111703547_g@groups.kik.com,1,-1,0
51,thegrimr3aper._126@talk.kik.com,1,-1,0
52,iiamderp_v9y@talk.kik.com,1,-1,0
53,melkico_6i0@talk.kik.com,1,-1,0
54,1100254199087_g@groups.kik.com,1,-1,0
55,1100102785409_g@groups.kik.com,1,-1,0
56,1100113840135_g@groups.kik.com,1,-1,0
57,1100255336978_g@groups.kik.com,1,-1,0
58,1100189924979_g@groups.kik.com,1,-1,0
59,oscar.miranda_7tk@talk.kik.com,1,-1,0
60,1100102722407_g@groups.kik.com,1,-1,0
61,1100172757947_g@groups.kik.com,1,-1,0
62,soccer_1923_nd8@talk.kik.com,1,-1,0
63,jet_killing_it_7x8@talk.kik.com,1,-1,0
64,bribribaby585_1vm@talk.kik.com,1,-1,0
65,1100178341557_g@groups.kik.com,1,-1,0
66,lacoda111_ycn@talk.kik.com,1,-1,0
67,dragonkill345_8uj@talk.kik.com,1,-1,0
68,1100257307414_g@groups.kik.com,1,-1,0
69,1100246817121_g@groups.kik.com,1,-1,0
70,1100252052187_g@groups.kik.com,1,-1,0
