_id,bin_id,sort_order,show_when_empty,retained,is_anonymously_matched,chat_end_time,anon_has_been_reported,anon_chat_has_been_rated,anon_chat_session_uuid,anon_friending_initiated
2,1100252172576_g@groups.kik.com,1654279363164,1,0,0,0,0,0,0,0
3,1100251730419_g@groups.kik.com,3,1,0,0,0,0,0,0,0
4,1100250214319_g@groups.kik.com,1654279368561,1,0,0,0,0,0,0,0
6,egeslife_b0j@talk.kik.com,1654278228882,1,0,0,0,0,0,0,0
7,martyistheparty23_t1m@talk.kik.com,1654278506139,1,0,0,0,0,0,0,0
8,yamiieee._nng@talk.kik.com,1654278837254,1,0,0,0,0,0,0,0
9,david0257_gh3@talk.kik.com,1654278898842,1,0,0,0,0,0,0,0
10,revo07_2s1@talk.kik.com,1654278327790,1,0,0,0,0,0,0,0
11,burki__00_sp7@talk.kik.com,1654278073258,1,0,0,0,0,0,0,0
12,jongirl31_t58@talk.kik.com,1654278055974,1,0,0,0,0,0,0,0
13,kashiinout_a50@talk.kik.com,1654278010062,1,0,0,0,0,0,0,0
14,hornywhovian_n7v@talk.kik.com,1654278770790,1,0,0,0,0,0,0,0
15,fixingagequip_xa4@talk.kik.com,1654279256271,1,0,0,0,0,0,0,0
16,drewrod13_q1r@talk.kik.com,1654278219146,1,0,0,0,0,0,0,0
17,shikamuri_a5h@talk.kik.com,1654278449918,1,0,0,0,0,0,0,0
18,gg2450_smx@talk.kik.com,1654278159714,1,0,0,0,0,0,0,0
19,lil_jayde_u6u@talk.kik.com,1654278905322,1,0,0,0,0,0,0,0
20,75turky_uj2@talk.kik.com,1654278139730,1,0,0,0,0,0,0,0
21,littlefreewilly_2w5@talk.kik.com,1654278153774,1,0,0,0,0,0,0,0
22,blueowl00_6k2@talk.kik.com,1654278132702,1,0,0,0,0,0,0,0
23,ramadamdam_s9v@talk.kik.com,1654278476406,1,0,0,0,0,0,0,0
24,bigdaddy68shorty_9mo@talk.kik.com,1654278373222,1,0,0,0,0,0,0,0
25,balor_monster_xzs@talk.kik.com,1654279092842,1,0,0,0,0,0,0,0
26,drummer4311_d1a@talk.kik.com,1654278892362,1,0,0,0,0,0,0,0
27,lapdogsallofyou_17h@talk.kik.com,1654278609307,1,0,0,0,0,0,0,0
28,koeagle_18m@talk.kik.com,1654279092302,1,0,0,0,0,0,0,0
29,cdpeters1996_5jg@talk.kik.com,1654278150530,1,0,0,0,0,0,0,0
30,buythesnow_1w0@talk.kik.com,1654278785918,1,0,0,0,0,0,0,0
31,yo.italy01_v9z@talk.kik.com,1654278253214,1,0,0,0,0,0,0,0
32,highofambitions_ury@talk.kik.com,1654278340782,1,0,0,0,0,0,0,0
33,draxxx69_5wg@talk.kik.com,1654278357550,1,0,0,0,0,0,0,0
34,project_rage208_odc@talk.kik.com,1654278649977,1,0,0,0,0,0,0,0
35,navi_premium220_crv@talk.kik.com,1654278102184,1,0,0,0,0,0,0,0
36,kaykay315223_f9k@talk.kik.com,1654278420736,1,0,0,0,0,0,0,0
37,metal.mouth_5ew@talk.kik.com,1654278770250,1,0,0,0,0,0,0,0
38,aj91uk_2ou@talk.kik.com,1654278016002,1,0,0,0,0,0,0,0
39,em07721_fti@talk.kik.com,1654278233763,1,0,0,0,0,0,0,0
40,roundtrip_fa_jg5@talk.kik.com,1654278956646,1,0,0,0,0,0,0,0
41,teenytinybooboo_ytw@talk.kik.com,1654278764310,1,0,0,0,0,0,0,0
42,honeyjunk_sk8@talk.kik.com,1654278307262,1,0,0,0,0,0,0,0
43,yours.truly90_snd@talk.kik.com,1654278925302,1,0,0,0,0,0,0,0
44,michgoblue1_1b6@talk.kik.com,1654278160258,1,0,0,0,0,0,0,0
45,james_jay_38_h1k@talk.kik.com,1654278346186,1,0,0,0,0,0,0,0
46,candacejoy123_i54@talk.kik.com,1654278122430,1,0,0,0,0,0,0,0
47,smswisher_6as@talk.kik.com,1654278964772,1,0,0,0,0,0,0,0
48,hakuna_matata.2_0g5@talk.kik.com,1654278287802,1,0,0,0,0,0,0,0
49,aaronc3666_0j1@talk.kik.com,1654278006278,1,0,0,0,0,0,0,0
50,ericjackson4_n2j@talk.kik.com,1654278238634,1,0,0,0,0,0,0,0
51,dk817_px8@talk.kik.com,1654278167278,1,0,0,0,0,0,0,0
52,raymond1040_f7l@talk.kik.com,1654278967896,1,0,0,0,0,0,0,0
53,kmareexx_1bc@talk.kik.com,1654278406702,1,0,0,0,0,0,0,0
54,raygan1988_m6u@talk.kik.com,1654278884238,1,0,0,0,0,0,0,0
55,powerpuff__girl___2fo@talk.kik.com,1654278878298,1,0,0,0,0,0,0,0
56,wbapauly89_m4m@talk.kik.com,1654278620106,1,0,0,0,0,0,0,0
57,ogdd420_f2l@talk.kik.com,1654278727578,1,0,0,0,0,0,0,0
58,beardedgamer97_mbz@talk.kik.com,1654278480734,1,0,0,0,0,0,0,0
59,palepeanut18_z1o@talk.kik.com,1654279177708,1,0,0,0,0,0,0,0
60,navi_premium95_xpy@talk.kik.com,1654278832025,1,0,0,0,0,0,0,0
61,troys389_zxx@talk.kik.com,1654278850637,1,0,0,0,0,0,0,0
62,kyle_dubford_xvf@talk.kik.com,1654279159802,1,0,0,0,0,0,0,0
63,lynnlikescake_l2t@talk.kik.com,1654278163498,1,0,0,0,0,0,0,0
64,gingerscot84_njf@talk.kik.com,1654278372682,1,0,0,0,0,0,0,0
65,anyone120_a7w@talk.kik.com,1654278540274,1,0,0,0,0,0,0,0
66,doc.m16_gdw@talk.kik.com,1654278211050,1,0,0,0,0,0,0,0
67,get1yarbles_rqq@talk.kik.com,1654278830514,1,0,0,0,0,0,0,0
68,nyscott95_62e@talk.kik.com,1654278703278,1,0,0,0,0,0,0,0
69,jackharp3_lm2@talk.kik.com,1654278336442,1,0,0,0,0,0,0,0
70,kevr229_9yu@talk.kik.com,1654278369982,1,0,0,0,0,0,0,0
71,deliciouslipselle_pnp@talk.kik.com,1654279170602,1,0,0,0,0,0,0,0
72,whiskey_so_neat_s8u@talk.kik.com,1654278827534,1,0,0,0,0,0,0,0
73,redemption404_j89@talk.kik.com,1654278655758,1,0,0,0,0,0,0,0
74,j.r.0830_sqt@talk.kik.com,1654278669258,1,0,0,0,0,0,0,0
75,supermangotthatpower_418@talk.kik.com,1654279023157,1,0,0,0,0,0,0,0
