_id,jid,is_muted,unmute_timestamp,is_dirty
1,1100249106617_g@groups.kik.com,1,-1,0
2,skid_bot5_jby@talk.kik.com,1,-1,0
3,skid_bot3_6fp@talk.kik.com,1,-1,0
4,shadowblaze1_vjs@talk.kik.com,1,-1,0
5,1100254847384_g@groups.kik.com,1,-1,0
6,indishank_czf@talk.kik.com,1,-1,0
7,dericofcu_iuq@talk.kik.com,1,-1,0
8,andrew_was_a_savage_4gc@talk.kik.com,1,-1,0
9,deadhack100_9gu@talk.kik.com,1,-1,0
10,dizziduzit_sic@talk.kik.com,1,-1,0
11,dia404_cvl@talk.kik.com,1,-1,0
12,alleenmaardrinken_hww@talk.kik.com,1,-1,0
13,atem1991_f0e@talk.kik.com,1,-1,0
14,133_wr6@talk.kik.com,1,-1,0
15,1100254730658_g@groups.kik.com,1,-1,0
16,10.23_b6e@talk.kik.com,1,-1,0
17,roll_871@talk.kik.com,1,-1,0
18,masterjack_g4e@talk.kik.com,1,-1,0
19,1100033589189_g@groups.kik.com,1,-1,0
20,oracle_vv2@talk.kik.com,1,-1,0
21,skid_bot4_izi@talk.kik.com,1,-1,0
22,rarri4ever_gv3@talk.kik.com,1,-1,0
23,pyromoniac_92e@talk.kik.com,1,-1,0
24,fuckblaze_gin@talk.kik.com,1,-1,0
25,meme.gen_0cm@talk.kik.com,1,-1,0
26,toya.2021_xy8@talk.kik.com,1,-1,0
27,tommy_xi_zyt@talk.kik.com,1,-1,0
28,wikked666_2c2@talk.kik.com,1,-1,0
29,navi_bot1077_4f9@talk.kik.com,1,-1,0
30,_wh1t3__ngw@talk.kik.com,1,-1,0
31,pirhobotv12_c9q@talk.kik.com,1,-1,0
32,skid_bot2_jos@talk.kik.com,1,-1,0
33,.himikotoga_ny6@talk.kik.com,1,-1,0
34,navi_bot728_ax7@talk.kik.com,1,-1,0
35,navi_bot300_q8d@talk.kik.com,1,-1,0
36,dorcusmafia_d6j@talk.kik.com,1,-1,0
37,_._._.._.._._.__x9f@talk.kik.com,1,-1,0
38,kingskull3_a8h@talk.kik.com,1,-1,0
39,1100253824578_g@groups.kik.com,1,-1,0
40,stock.fucker_302@talk.kik.com,1,-1,0
41,kittenlover2278_mns@talk.kik.com,1,-1,0
42,matrix0401_9ab@talk.kik.com,1,-1,0
43,1100251521688_g@groups.kik.com,1,-1,0
44,phobos_4yf@talk.kik.com,1,-1,0
45,1100256153714_g@groups.kik.com,1,-1,0
46,blazed4dayze_azx@talk.kik.com,1,-1,0
47,dj38_bg8@talk.kik.com,1,-1,0
48,skid_bot1_lv5@talk.kik.com,1,-1,0
49,kikteam@talk.kik.com,1,-1,0
50,1100254789254_g@groups.kik.com,1,-1,0
51,project_rage190_381@talk.kik.com,1,-1,0
52,patrickmarlen_plc@talk.kik.com,1,-1,0
53,rslpuppet_anc@talk.kik.com,1,-1,0
54,rorrenami_rbi@talk.kik.com,1,-1,0
55,1100250008391_g@groups.kik.com,1,-1,0
56,synicalbunny_3eg@talk.kik.com,1,-1,0
57,brickdatass_95u@talk.kik.com,1,-1,0
58,daddypastel_qd7@talk.kik.com,1,-1,0
59,1100254786332_g@groups.kik.com,1,-1,0
60,1100253126841_g@groups.kik.com,1,-1,0
61,blazindynamo_ovf@talk.kik.com,1,-1,0
62,1100255978956_g@groups.kik.com,1,-1,0
63,1100254584569_g@groups.kik.com,1,-1,0
64,chenluffy_oz0@talk.kik.com,1,-1,0
65,1100254270791_g@groups.kik.com,1,-1,0
66,vincymerlapadav_o90@talk.kik.com,1,-1,0
67,bandage4myheart_262@talk.kik.com,1,-1,0
68,boilingwatah_enl@talk.kik.com,1,-1,0
69,1100254159133_g@groups.kik.com,1,-1,0
70,neocasino_yud@talk.kik.com,1,-1,0
71,skid_out_lru@talk.kik.com,1,-1,0
72,listofdemands_yll@talk.kik.com,1,-1,0
73,raisebythemoonspirit_wt9@talk.kik.com,1,-1,0
74,rohanredark_mvd@talk.kik.com,1,-1,0
75,rmp_efc@talk.kik.com,1,-1,0
76,1100254675462_g@groups.kik.com,1,-1,0
77,1100241311240_g@groups.kik.com,1,-1,0
78,ara0709_t1f@talk.kik.com,1,-1,0
79,ghostfacekillasmojav_knn@talk.kik.com,1,-1,0
80,loongdongsilver_tho@talk.kik.com,1,-1,0
81,monica_flies_up_09o@talk.kik.com,1,-1,0
82,utmba01_d6m@talk.kik.com,1,-1,0
83,.montero._v3o@talk.kik.com,1,-1,0
84,skid_17_p0j@talk.kik.com,1,-1,0
85,1100255647026_g@groups.kik.com,1,-1,0
86,1100254194646_g@groups.kik.com,1,-1,0
87,rileyellis777_xy5@talk.kik.com,1,-1,0
88,1100253782431_g@groups.kik.com,1,-1,0
89,imwoodythecowboy_ly9@talk.kik.com,1,-1,0
90,1100246640543_g@groups.kik.com,1,-1,0
91,ly_hkl@talk.kik.com,1,-1,0
92,kyli3notj3nn3r_nvi@talk.kik.com,1,-1,0
93,sneaky.bunny.98_zxo@talk.kik.com,1,-1,0
94,unicorns_p3a@talk.kik.com,1,-1,0
95,cmp_zcn@talk.kik.com,1,-1,0
96,1100253846491_g@groups.kik.com,1,-1,0
97,thegaphag_0qa@talk.kik.com,1,-1,0
98,1100244252425_g@groups.kik.com,1,-1,0
99,1100254430229_g@groups.kik.com,1,-1,0
100,skid_out1_ccu@talk.kik.com,1,-1,0
101,thefourthhoursemanaz_ocl@talk.kik.com,1,-1,0
102,1100254107122_g@groups.kik.com,1,-1,0
103,1100251402282_g@groups.kik.com,1,-1,0
104,1100253730409_g@groups.kik.com,1,-1,0
105,mfblaze_18y@talk.kik.com,1,-1,0
106,hdmi_port_imm@talk.kik.com,1,-1,0
107,thisis_devil_2a4@talk.kik.com,1,-1,0
108,kylie_the_person2.0_etl@talk.kik.com,1,-1,0
109,1100243591211_g@groups.kik.com,1,-1,0
110,trump4pr3sid3nt_o8e@talk.kik.com,1,-1,0
