_id,body,markdown_body,partner_jid,was_me,read_state,uid,length,timestamp,bin_id,sys_msg,stat_msg,stat_user_jid,stat_special_visibility,req_read_reciept,content_id,app_id,message_retry_count,encryption_failure,render_instructions,friend_attr_id,server_sig,mentioned_contact_id,core_message_proto_bytes,is_latest_from_correspondent_in_bin,is_big_emoji,friend_made_jid,kin_tipped
1,pong,,u3zooqd2ljqsvbepty6kmzj7gyfdxiwiwblz6p55akhqwqfnff2a_a@talk.kik.com,0,400,814c5493-a692-4ed0-b652-855c36ff114f,4,1647413251282,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
2,:|,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,0afc6a49-e6eb-4f79-8bc0-f0b65a946b4e,2,1647413294398,1100256136749_g@groups.kik.com,,,,,1,,,0,0,ChIIABACGgI6fCIINmIxZDAxNjQ=,,,,,0,1,,0
3,,,3lt3kk22mn3xtaj7tugpzw5i5dlwosqzcpa2p5jctxtiinr3yvfa_a@talk.kik.com,0,400,da1da5b6-34d8-4f72-a84a-2ea1a32248a2,0,1647413294796,1100256136749_g@groups.kik.com,,,,,0,da1da5b6-34d8-4f72-a84a-2ea1a32248a2,com.kik.ext.stickers,0,0,,,,,,0,0,,0
4,:*,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,53dac2d9-44c3-4a7a-baae-9e315156fc6f,2,1647413297947,1100256136749_g@groups.kik.com,,,,,1,,,0,0,ChIIABACGgI6KiIIMjBjZDk2N2M=,,,,,0,1,,0
5,,,3lt3kk22mn3xtaj7tugpzw5i5dlwosqzcpa2p5jctxtiinr3yvfa_a@talk.kik.com,0,400,93f3b2b1-1158-4238-93a8-240ccd9ce247,0,1647413298377,1100256136749_g@groups.kik.com,,,,,0,93f3b2b1-1158-4238-93a8-240ccd9ce247,com.kik.ext.stickers,0,0,,,,,,0,0,,0
6,Flex,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,c73b2893-4971-4d28-8be5-02f730a532a2,4,1647413307803,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
7,,,3lt3kk22mn3xtaj7tugpzw5i5dlwosqzcpa2p5jctxtiinr3yvfa_a@talk.kik.com,0,400,c3053da0-9c77-40a2-b450-cefb20026897,0,1647413308815,1100256136749_g@groups.kik.com,,,,,0,c3053da0-9c77-40a2-b450-cefb20026897,com.kik.cards,0,0,,,,,,0,0,,0
8,Hows it going,,hqqd3vz6yopcfn42ij2gcfdnorzr7zck3mk5qk2rs7i26zwscuga_a@talk.kik.com,0,400,42399703-d305-4d05-b6ee-d28610468c70,13,1647413311856,1100254612374_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
9,Flex 2,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,b008caba-d9d2-49f2-af97-232299afeb33,6,1647413316102,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
10,Flex 1,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,52998d11-e093-4931-98f5-4a09802c7367,6,1647413322077,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
11,,,3lt3kk22mn3xtaj7tugpzw5i5dlwosqzcpa2p5jctxtiinr3yvfa_a@talk.kik.com,0,400,43401306-9814-48fb-8b64-f316d6306a5a,0,1647413323383,1100256136749_g@groups.kik.com,,,,,0,43401306-9814-48fb-8b64-f316d6306a5a,com.kik.cards,0,0,,,,,,0,0,,0
12,Flex 3,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,e75802dc-a8f5-4467-a562-81bf517a78bf,6,1647413329662,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
13,,,3lt3kk22mn3xtaj7tugpzw5i5dlwosqzcpa2p5jctxtiinr3yvfa_a@talk.kik.com,0,400,5930ea95-2bd5-425d-944c-50ebf4fe7653,0,1647413333467,1100256136749_g@groups.kik.com,,,,,0,5930ea95-2bd5-425d-944c-50ebf4fe7653,com.kik.ext.gif,0,0,,,,,,0,0,,0
14,Flex 4,,4hltgahnocyysfni55ny34xwmc3beldmp4xprbcdxr5m4trnuoxq_a@talk.kik.com,0,400,572fb077-59f4-4df9-a8fb-a8b655322618,6,1647413348915,1100256136749_g@groups.kik.com,,,,,1,,,0,0,,,,,,0,0,,0
