_id,bin_id,sort_order,show_when_empty,retained,is_anonymously_matched,chat_end_time,anon_has_been_reported,anon_chat_has_been_rated,anon_chat_session_uuid,anon_friending_initiated
1,1100255115546_g@groups.kik.com,1,1,0,0,0,0,0,0,0
2,1100255115491_g@groups.kik.com,2,1,0,0,0,0,0,0,0
3,1100255115481_g@groups.kik.com,3,1,0,0,0,0,0,0,0
4,1100255115461_g@groups.kik.com,4,1,0,0,0,0,0,0,0
5,1100254716681_g@groups.kik.com,5,1,0,0,0,0,0,0,0
6,1100254159133_g@groups.kik.com,6,1,0,0,0,0,0,0,0
7,1100033589189_g@groups.kik.com,7,1,0,0,0,0,0,0,0
8,1100254789254_g@groups.kik.com,8,1,0,0,0,0,0,0,0
9,1100254194646_g@groups.kik.com,9,1,0,0,0,0,0,0,0
10,1100253782431_g@groups.kik.com,10,1,0,0,0,0,0,0,0
11,1100251521688_g@groups.kik.com,11,1,0,0,0,0,0,0,0
12,1100246640543_g@groups.kik.com,12,1,0,0,0,0,0,0,0
13,1100241311240_g@groups.kik.com,13,1,0,0,0,0,0,0,0
14,skid_out100_dcq@talk.kik.com,14,1,0,0,0,0,0,0,0
15,skid_out99_zu9@talk.kik.com,15,1,0,0,0,0,0,0,0
16,skid_out98_eed@talk.kik.com,16,1,0,0,0,0,0,0,0
17,skid_out97_4iw@talk.kik.com,17,1,0,0,0,0,0,0,0
18,skid_out96_264@talk.kik.com,18,1,0,0,0,0,0,0,0
19,skid_out95_tv0@talk.kik.com,19,1,0,0,0,0,0,0,0
20,skid_out94_536@talk.kik.com,20,1,0,0,0,0,0,0,0
21,skid_out93_oqo@talk.kik.com,21,1,0,0,0,0,0,0,0
22,skid_out92_ltc@talk.kik.com,22,1,0,0,0,0,0,0,0
23,evilpedo91_qwv@talk.kik.com,23,1,0,0,0,0,0,0,0
24,evilpedo_yse@talk.kik.com,24,1,0,0,0,0,0,0,0
25,evilpedo1_mwj@talk.kik.com,25,1,0,0,0,0,0,0,0
26,fizy_8gc@talk.kik.com,26,1,0,0,0,0,0,0,0
27,skid_out9_h4r@talk.kik.com,27,1,0,0,0,0,0,0,0
28,skid_out8_l6c@talk.kik.com,28,1,0,0,0,0,0,0,0
29,bizzle636_s1v@talk.kik.com,29,1,0,0,0,0,0,0,0
30,project_rage190_381@talk.kik.com,30,1,0,0,0,0,0,0,0
31,navi_bot90_84e@talk.kik.com,31,1,0,0,0,0,0,0,0
32,navi_bot1150_hta@talk.kik.com,32,1,0,0,0,0,0,0,0
33,rorrenami_rbi@talk.kik.com,33,1,0,0,0,0,0,0,0
34,wikked666_2c2@talk.kik.com,34,1,0,0,0,0,0,0,0
35,wih_opd@talk.kik.com,35,1,0,0,0,0,0,0,0
36,hipstercatbot_68a@talk.kik.com,36,1,0,0,0,0,0,0,0
37,guggysticker_w1p@talk.kik.com,37,1,0,0,0,0,0,0,0
38,navi_bot1052_qan@talk.kik.com,38,1,0,0,0,0,0,0,0
39,botsworth_1o8@talk.kik.com,39,1,0,0,0,0,0,0,0
40,twerkbabes_dpy@talk.kik.com,40,1,0,0,0,0,0,0,0
41,dailysmokeshow_6p6@talk.kik.com,41,1,0,0,0,0,0,0,0
42,wildjoe_vj6@talk.kik.com,42,1,0,0,0,0,0,0,0
43,abyssking666_3d6@talk.kik.com,43,1,0,0,0,0,0,0,0
44,newstylee_16w@talk.kik.com,44,1,0,0,0,0,0,0,0
