_id,bin_id,sort_order,show_when_empty,retained,is_anonymously_matched,chat_end_time,anon_has_been_reported,anon_chat_has_been_rated,anon_chat_session_uuid,anon_friending_initiated
1,codebreaker91_9fo@talk.kik.com,1,1,0,0,0,0,0,0,0
2,spider13queen_gp9@talk.kik.com,2,1,0,0,0,0,0,0,0
3,ella30r_3dy@talk.kik.com,3,1,0,0,0,0,0,0,0
4,slayerofburgerking_7md@talk.kik.com,4,1,0,0,0,0,0,0,0
5,pleasehelpmeanon_ovd@talk.kik.com,5,1,0,0,0,0,0,0,0
6,emilyfirelighters_z16@talk.kik.com,6,1,0,0,0,0,0,0,0
7,dragon_slayer_flame_cku@talk.kik.com,7,1,0,0,0,0,0,0,0
8,xeness404_rft@talk.kik.com,8,1,0,0,0,0,0,0,0
9,cris.lml_u0v@talk.kik.com,9,1,0,0,0,0,0,0,0
10,adamblackcat777_2ah@talk.kik.com,10,1,0,0,0,0,0,0,0
11,zero79521_i7a@talk.kik.com,11,1,0,0,0,0,0,0,0
12,misstressphoebe_1ze@talk.kik.com,12,1,0,0,0,0,0,0,0
13,haydenguardian_0wr@talk.kik.com,13,1,0,0,0,0,0,0,0
14,danjomar_5kg@talk.kik.com,14,1,0,0,0,0,0,0,0
15,nikkyb27_1uo@talk.kik.com,15,1,0,0,0,0,0,0,0
16,savedbylove58_dsr@talk.kik.com,16,1,0,0,0,0,0,0,0
17,dude1233453_z7z@talk.kik.com,17,1,0,0,0,0,0,0,0
18,bubsy32x_t51@talk.kik.com,18,1,0,0,0,0,0,0,0
19,michael_vd1017_63m@talk.kik.com,19,1,0,0,0,0,0,0,0
20,trom_laighe_ho2@talk.kik.com,20,1,0,0,0,0,0,0,0
21,randomusername1526_hlu@talk.kik.com,21,1,0,0,0,0,0,0,0
22,cumdeepinsideme420_4ur@talk.kik.com,22,1,0,0,0,0,0,0,0
23,iamtakingcontrol_3zo@talk.kik.com,23,1,0,0,0,0,0,0,0
24,gup_katyusha_rd4@talk.kik.com,24,1,0,0,0,0,0,0,0
25,pumpkinspiceuwu_m4r@talk.kik.com,25,1,0,0,0,0,0,0,0
26,supercat59_a7h@talk.kik.com,26,1,0,0,0,0,0,0,0
27,sammy_love458_0bn@talk.kik.com,27,1,0,0,0,0,0,0,0
28,silvertounge001_wn6@talk.kik.com,28,1,0,0,0,0,0,0,0
29,swingingfutaisback_2cz@talk.kik.com,29,1,0,0,0,0,0,0,0
30,howlingatyheredmoon_fu7@talk.kik.com,30,1,0,0,0,0,0,0,0
31,dylanwint_7yz@talk.kik.com,31,1,0,0,0,0,0,0,0
32,robert5666_f5h@talk.kik.com,32,1,0,0,0,0,0,0,0
33,luna_dragon_momma_bz5@talk.kik.com,33,1,0,0,0,0,0,0,0
34,beatles_1999_s68@talk.kik.com,34,1,0,0,0,0,0,0,0
35,mostlybored7_gmf@talk.kik.com,35,1,0,0,0,0,0,0,0
36,lokm125_dwt@talk.kik.com,36,1,0,0,0,0,0,0,0
37,higmebringitin_wwe@talk.kik.com,37,1,0,0,0,0,0,0,0
38,iix_ash__09j@talk.kik.com,38,1,0,0,0,0,0,0,0
39,chilaigal_6sm@talk.kik.com,39,1,0,0,0,0,0,0,0
40,lovelyjessie101_mlf@talk.kik.com,40,1,0,0,0,0,0,0,0
41,tohka1_w57@talk.kik.com,41,1,0,0,0,0,0,0,0
42,sexycherrytoy564_bux@talk.kik.com,42,1,0,0,0,0,0,0,0
43,unemplooyebeg_uca@talk.kik.com,43,1,0,0,0,0,0,0,0
44,kobold10_8y7@talk.kik.com,44,1,0,0,0,0,0,0,0
45,bunnilarose_tip@talk.kik.com,45,1,0,0,0,0,0,0,0
46,1100252979052_g@groups.kik.com,46,1,0,0,0,0,0,0,0
47,roxiebunny175_z6j@talk.kik.com,47,1,0,0,0,0,0,0,0
48,zackevil85_133@talk.kik.com,48,1,0,0,0,0,0,0,0
49,erp_welcome_a73@talk.kik.com,49,1,0,0,0,0,0,0,0
50,1100250325523_g@groups.kik.com,50,1,0,0,0,0,0,0,0
51,poundpuppyxo_lkl@talk.kik.com,51,1,0,0,0,0,0,0,0
52,zromdiapercub_gz7@talk.kik.com,52,1,0,0,0,0,0,0,0
53,whoreforshemales_j5g@talk.kik.com,53,1,0,0,0,0,0,0,0
54,dirtyfox42_ekj@talk.kik.com,54,1,0,0,0,0,0,0,0
55,elenavale92_f07@talk.kik.com,55,1,0,0,0,0,0,0,0
56,blacknite113_rj1@talk.kik.com,56,1,0,0,0,0,0,0,0
57,nightbye1_xeu@talk.kik.com,57,1,0,0,0,0,0,0,0
58,heavypint_6m9@talk.kik.com,58,1,0,0,0,0,0,0,0
59,renomat2_tu2@talk.kik.com,59,1,0,0,0,0,0,0,0
60,scottv121_gnv@talk.kik.com,60,1,0,0,0,0,0,0,0
61,omegaprincess04_fhl@talk.kik.com,61,1,0,0,0,0,0,0,0
62,poke_dilf_o9b@talk.kik.com,62,1,0,0,0,0,0,0,0
63,fluttershylover5678_611@talk.kik.com,63,1,0,0,0,0,0,0,0
64,mazenbored_n3z@talk.kik.com,64,1,0,0,0,0,0,0,0
65,harustardust_9mt@talk.kik.com,65,1,0,0,0,0,0,0,0
66,kellyfuta5674_ifs@talk.kik.com,66,1,0,0,0,0,0,0,0
67,red.8972_ll6@talk.kik.com,67,1,0,0,0,0,0,0,0
68,flynnbojangles_axl@talk.kik.com,68,1,0,0,0,0,0,0,0
69,deadbeastdude12_hgb@talk.kik.com,69,1,0,0,0,0,0,0,0
70,thathotabby_hua@talk.kik.com,70,1,0,0,0,0,0,0,0
71,marietheassslave_1yw@talk.kik.com,71,1,0,0,0,0,0,0,0
72,cutiebuttbunny_7p8@talk.kik.com,72,1,0,0,0,0,0,0,0
73,1100252400981_g@groups.kik.com,73,1,0,0,0,0,0,0,0
